StationID,StationName,Latitude,Longitude,Year,Month,"Air temperature 2m, deg C, monthly average","Precipition, m, monthly total"
1,Abisko Scientific Research Station,68.35440556,18.81590833,2019,1,-12.110364967453165,0.00284002214696501
1,Abisko Scientific Research Station,68.35440556,18.81590833,2019,2,-10.793879022394947,0.006524369120597839
1,Abisko Scientific Research Station,68.35440556,18.81590833,2019,3,-10.390354062880249,0.003756687954143391
1,Abisko Scientific Research Station,68.35440556,18.81590833,2019,4,-2.2799958690599738,0.0012452460024354925
1,Abisko Scientific Research Station,68.35440556,18.81590833,2019,5,-0.13064655506934741,0.002189487946492987
1,Abisko Scientific Research Station,68.35440556,18.81590833,2019,6,5.720655162672131,0.004559635025429812
1,Abisko Scientific Research Station,68.35440556,18.81590833,2019,7,10.584972031177301,0.0017793476249734837
1,Abisko Scientific Research Station,68.35440556,18.81590833,2019,8,10.249397182436951,0.0033333285955802496
1,Abisko Scientific Research Station,68.35440556,18.81590833,2019,9,3.818431670547909,0.003448973283889164
1,Abisko Scientific Research Station,68.35440556,18.81590833,2019,10,-3.984063172222136,0.0022343101118330053
1,Abisko Scientific Research Station,68.35440556,18.81590833,2019,11,-8.833954877546148,0.000896911244841874
1,Abisko Scientific Research Station,68.35440556,18.81590833,2019,12,-7.388022073415016,0.00464262606594219
1,Abisko Scientific Research Station,68.35440556,18.81590833,2020,1,-8.283521019318243,0.004760897053001496
1,Abisko Scientific Research Station,68.35440556,18.81590833,2020,2,-9.155484172662739,0.0027723511824965835
1,Abisko Scientific Research Station,68.35440556,18.81590833,2020,3,-8.346156596289006,0.003947794959880227
1,Abisko Scientific Research Station,68.35440556,18.81590833,2020,4,-5.455050207141539,0.0025513919142969624
1,Abisko Scientific Research Station,68.35440556,18.81590833,2020,5,-1.243282167804523,0.001999956720006386
1,Abisko Scientific Research Station,68.35440556,18.81590833,2020,6,6.659809207676176,0.0011955214127614099
1,Abisko Scientific Research Station,68.35440556,18.81590833,2020,7,8.642509925968852,0.0049337950540689485
1,Abisko Scientific Research Station,68.35440556,18.81590833,2020,8,8.732477391072337,0.0035241729714420465
1,Abisko Scientific Research Station,68.35440556,18.81590833,2020,9,3.972932760409151,0.004655757559694148
1,Abisko Scientific Research Station,68.35440556,18.81590833,2020,10,-1.0493016839738516,0.002223629830248079
1,Abisko Scientific Research Station,68.35440556,18.81590833,2020,11,-3.052501318366069,0.004163676717162424
1,Abisko Scientific Research Station,68.35440556,18.81590833,2020,12,-7.712208635433399,0.001389955063582075
1,Abisko Scientific Research Station,68.35440556,18.81590833,2021,1,-13.478857421874977,0.0008817662553812821
1,Abisko Scientific Research Station,68.35440556,18.81590833,2021,2,-11.265733702241334,0.0028125335533775767
1,Abisko Scientific Research Station,68.35440556,18.81590833,2021,3,-7.652230325364428,0.0038668174150764826
1,Abisko Scientific Research Station,68.35440556,18.81590833,2021,4,-4.744800725248865,0.002880642234304401
1,Abisko Scientific Research Station,68.35440556,18.81590833,2021,5,-1.1757116665875742,0.001466467900510153
